Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,95,5,Some Random Commen with Id 0
1,0,3,23,0,Some Random Commen with Id 1
2,1,9,20,8,Some Random Commen with Id 2
3,1,9,196,4,Some Random Commen with Id 3
4,1,9,131,5,Some Random Commen with Id 4
5,1,9,19,1,Some Random Commen with Id 5
6,1,9,186,6,Some Random Commen with Id 6
7,1,9,94,4,Some Random Commen with Id 7
8,2,5,90,9,Some Random Commen with Id 8
9,2,5,30,2,Some Random Commen with Id 9
10,3,0,159,2,Some Random Commen with Id 10
11,3,0,119,3,Some Random Commen with Id 11
12,4,3,88,9,Some Random Commen with Id 12
13,4,3,98,9,Some Random Commen with Id 13
14,4,3,183,5,Some Random Commen with Id 14
15,4,3,171,2,Some Random Commen with Id 15
16,4,3,59,0,Some Random Commen with Id 16
17,5,6,49,5,Some Random Commen with Id 17
18,5,6,28,6,Some Random Commen with Id 18
19,5,6,22,3,Some Random Commen with Id 19
20,7,7,39,9,Some Random Commen with Id 20
21,7,7,28,2,Some Random Commen with Id 21
22,7,7,110,0,Some Random Commen with Id 22
23,8,5,163,9,Some Random Commen with Id 23
24,8,5,176,7,Some Random Commen with Id 24
25,8,5,137,1,Some Random Commen with Id 25
26,8,5,2,6,Some Random Commen with Id 26
27,8,5,190,1,Some Random Commen with Id 27
28,8,5,25,9,Some Random Commen with Id 28
29,8,5,169,7,Some Random Commen with Id 29
30,8,5,52,6,Some Random Commen with Id 30
31,8,5,4,2,Some Random Commen with Id 31
32,9,3,108,6,Some Random Commen with Id 32
33,9,3,57,1,Some Random Commen with Id 33
34,9,3,93,0,Some Random Commen with Id 34
35,9,3,75,8,Some Random Commen with Id 35
36,9,3,179,8,Some Random Commen with Id 36
37,9,3,173,5,Some Random Commen with Id 37
38,9,3,59,1,Some Random Commen with Id 38
39,9,3,10,0,Some Random Commen with Id 39
40,9,3,176,9,Some Random Commen with Id 40
41,10,6,177,4,Some Random Commen with Id 41
42,10,6,131,7,Some Random Commen with Id 42
43,10,6,55,7,Some Random Commen with Id 43
44,10,6,102,5,Some Random Commen with Id 44
45,11,9,68,6,Some Random Commen with Id 45
46,11,9,96,8,Some Random Commen with Id 46
47,11,9,60,2,Some Random Commen with Id 47
48,11,9,182,8,Some Random Commen with Id 48
49,11,9,136,6,Some Random Commen with Id 49
50,11,9,130,6,Some Random Commen with Id 50
51,11,9,16,1,Some Random Commen with Id 51
52,12,9,115,6,Some Random Commen with Id 52
53,12,9,178,3,Some Random Commen with Id 53
54,12,9,48,3,Some Random Commen with Id 54
55,12,9,88,6,Some Random Commen with Id 55
56,13,5,122,2,Some Random Commen with Id 56
57,13,5,68,0,Some Random Commen with Id 57
58,13,5,66,4,Some Random Commen with Id 58
59,13,5,25,2,Some Random Commen with Id 59
60,13,5,57,8,Some Random Commen with Id 60
61,13,5,11,6,Some Random Commen with Id 61
62,14,8,94,7,Some Random Commen with Id 62
63,14,8,105,9,Some Random Commen with Id 63
64,14,8,177,4,Some Random Commen with Id 64
65,14,8,119,2,Some Random Commen with Id 65
66,14,8,38,7,Some Random Commen with Id 66
67,14,8,147,4,Some Random Commen with Id 67
68,14,8,148,9,Some Random Commen with Id 68
69,14,8,23,8,Some Random Commen with Id 69
70,14,8,39,9,Some Random Commen with Id 70
71,15,1,177,1,Some Random Commen with Id 71
72,15,1,65,2,Some Random Commen with Id 72
73,15,1,106,6,Some Random Commen with Id 73
74,15,1,156,1,Some Random Commen with Id 74
75,15,1,83,7,Some Random Commen with Id 75
76,15,1,157,8,Some Random Commen with Id 76
77,16,7,193,6,Some Random Commen with Id 77
78,16,7,188,0,Some Random Commen with Id 78
79,16,7,108,0,Some Random Commen with Id 79
80,16,7,79,6,Some Random Commen with Id 80
81,17,0,194,8,Some Random Commen with Id 81
82,17,0,26,3,Some Random Commen with Id 82
83,17,0,171,1,Some Random Commen with Id 83
84,17,0,92,5,Some Random Commen with Id 84
85,17,0,59,6,Some Random Commen with Id 85
86,17,0,156,6,Some Random Commen with Id 86
87,17,0,164,7,Some Random Commen with Id 87
88,17,0,12,1,Some Random Commen with Id 88
89,18,4,59,0,Some Random Commen with Id 89
90,18,4,37,3,Some Random Commen with Id 90
91,18,4,1,8,Some Random Commen with Id 91
92,18,4,117,9,Some Random Commen with Id 92
93,18,4,31,8,Some Random Commen with Id 93
94,18,4,194,9,Some Random Commen with Id 94
95,18,4,173,3,Some Random Commen with Id 95
96,18,4,167,9,Some Random Commen with Id 96
97,19,3,65,5,Some Random Commen with Id 97
98,19,3,52,4,Some Random Commen with Id 98
99,19,3,84,3,Some Random Commen with Id 99
100,19,3,57,2,Some Random Commen with Id 100
101,19,3,122,3,Some Random Commen with Id 101
102,19,3,150,2,Some Random Commen with Id 102
103,19,3,86,9,Some Random Commen with Id 103
104,19,3,44,2,Some Random Commen with Id 104
105,19,3,95,5,Some Random Commen with Id 105
106,20,1,56,2,Some Random Commen with Id 106
107,20,1,102,0,Some Random Commen with Id 107
108,20,1,132,8,Some Random Commen with Id 108
109,20,1,117,7,Some Random Commen with Id 109
110,22,4,23,3,Some Random Commen with Id 110
111,22,4,193,4,Some Random Commen with Id 111
112,22,4,185,9,Some Random Commen with Id 112
113,22,4,75,3,Some Random Commen with Id 113
114,22,4,144,7,Some Random Commen with Id 114
115,23,3,9,0,Some Random Commen with Id 115
116,23,3,26,3,Some Random Commen with Id 116
117,23,3,162,5,Some Random Commen with Id 117
118,23,3,35,6,Some Random Commen with Id 118
119,23,3,160,7,Some Random Commen with Id 119
120,23,3,148,2,Some Random Commen with Id 120
121,23,3,144,3,Some Random Commen with Id 121
122,24,6,109,3,Some Random Commen with Id 122
123,24,6,83,2,Some Random Commen with Id 123
124,24,6,104,4,Some Random Commen with Id 124
125,24,6,174,9,Some Random Commen with Id 125
126,24,6,70,4,Some Random Commen with Id 126
127,24,6,181,6,Some Random Commen with Id 127
128,24,6,11,2,Some Random Commen with Id 128
129,24,6,86,6,Some Random Commen with Id 129
130,25,0,59,4,Some Random Commen with Id 130
131,25,0,122,5,Some Random Commen with Id 131
132,25,0,158,1,Some Random Commen with Id 132
133,25,0,162,5,Some Random Commen with Id 133
134,26,4,130,8,Some Random Commen with Id 134
135,26,4,135,1,Some Random Commen with Id 135
136,26,4,158,9,Some Random Commen with Id 136
137,26,4,190,1,Some Random Commen with Id 137
138,26,4,192,3,Some Random Commen with Id 138
139,26,4,0,4,Some Random Commen with Id 139
140,26,4,166,0,Some Random Commen with Id 140
141,27,7,70,9,Some Random Commen with Id 141
142,27,7,189,2,Some Random Commen with Id 142
143,27,7,44,1,Some Random Commen with Id 143
144,27,7,153,9,Some Random Commen with Id 144
145,28,2,111,7,Some Random Commen with Id 145
146,28,2,146,2,Some Random Commen with Id 146
147,28,2,20,2,Some Random Commen with Id 147
148,28,2,6,9,Some Random Commen with Id 148
149,29,6,22,6,Some Random Commen with Id 149
150,29,6,137,7,Some Random Commen with Id 150
151,29,6,180,4,Some Random Commen with Id 151
152,29,6,122,3,Some Random Commen with Id 152
153,29,6,167,2,Some Random Commen with Id 153
154,29,6,198,6,Some Random Commen with Id 154
155,30,5,165,8,Some Random Commen with Id 155
156,30,5,77,9,Some Random Commen with Id 156
157,30,5,178,7,Some Random Commen with Id 157
158,30,5,138,7,Some Random Commen with Id 158
159,30,5,11,6,Some Random Commen with Id 159
160,30,5,12,6,Some Random Commen with Id 160
161,30,5,143,0,Some Random Commen with Id 161
162,30,5,145,6,Some Random Commen with Id 162
163,30,5,160,7,Some Random Commen with Id 163
164,31,9,72,5,Some Random Commen with Id 164
165,31,9,199,0,Some Random Commen with Id 165
166,31,9,160,5,Some Random Commen with Id 166
167,31,9,147,0,Some Random Commen with Id 167
168,33,0,98,2,Some Random Commen with Id 168
169,33,0,67,4,Some Random Commen with Id 169
170,33,0,121,3,Some Random Commen with Id 170
171,33,0,147,2,Some Random Commen with Id 171
172,33,0,54,1,Some Random Commen with Id 172
173,33,0,108,1,Some Random Commen with Id 173
174,33,0,113,0,Some Random Commen with Id 174
175,33,0,166,7,Some Random Commen with Id 175
176,35,1,8,0,Some Random Commen with Id 176
177,35,1,165,4,Some Random Commen with Id 177
178,35,1,8,6,Some Random Commen with Id 178
179,35,1,175,7,Some Random Commen with Id 179
180,35,1,91,7,Some Random Commen with Id 180
181,35,1,192,4,Some Random Commen with Id 181
182,37,1,114,5,Some Random Commen with Id 182
183,37,1,96,4,Some Random Commen with Id 183
184,37,1,43,0,Some Random Commen with Id 184
185,37,1,37,5,Some Random Commen with Id 185
186,37,1,94,1,Some Random Commen with Id 186
187,37,1,178,6,Some Random Commen with Id 187
188,37,1,143,9,Some Random Commen with Id 188
189,38,9,19,6,Some Random Commen with Id 189
190,38,9,99,7,Some Random Commen with Id 190
191,38,9,116,5,Some Random Commen with Id 191
192,38,9,119,1,Some Random Commen with Id 192
193,38,9,95,8,Some Random Commen with Id 193
194,38,9,20,2,Some Random Commen with Id 194
195,38,9,158,1,Some Random Commen with Id 195
196,38,9,61,4,Some Random Commen with Id 196
197,39,2,15,0,Some Random Commen with Id 197
198,39,2,118,9,Some Random Commen with Id 198
199,39,2,44,3,Some Random Commen with Id 199
200,39,2,122,8,Some Random Commen with Id 200
201,39,2,167,3,Some Random Commen with Id 201
202,39,2,144,5,Some Random Commen with Id 202
203,39,2,178,0,Some Random Commen with Id 203
204,39,2,118,7,Some Random Commen with Id 204
205,39,2,68,7,Some Random Commen with Id 205
